941 31,Dvory nad Žitavou
952 01,Dyčka
075 01,Egreš
930 38,Eliášovce
930 03,Etreho Kračany
013 15,Fačkov
976 52,Fajtov
072 05,Falkušovce
972 46,Fančová
935 66,Farná
077 01,Fejséš
072 33,Fekišovce
032 14,Fiačice
982 51,Figa
090 42,Fijaš
986 01,Fiľakovo
986 01,Fiľakovské Kľačany
986 01,Fiľakovské Kováče
058 01,Filice
982 66,Filier
976 64,Filipovo
082 16,Fintice
029 57,Flajšová
038 42,Folkušová
013 32,Forbaky - Klukany
065 01,Forbasy
087 01,Francovce
086 02,Frička
086 42,Fričkovce
082 37,Fričovce
082 12,Fulianka
082 67,Furmanec
930 05,Gabčíkovo
086 02,Gaboltov
900 61,Gajary
072 43,Gajdoš
924 01,Galanta
032 11,Galovany
924 01,Gáň
058 01,Gánovce
972 28,Gápel
020 53,Gaškovce
976 64,Gašparovo
013 02,Gbeľany
943 42,Gbelce
908 45,Gbely
056 01,Gelnica
982 01,Gemer
980 31,Gemerček
049 12,Gemerská Hôrka
980 46,Gemerská Panica
049 22,Gemerská Poloma
982 62,Gemerská Ves
980 04,Gemerské Dechtáre
982 52,Gemerské Michalovce
049 16,Gemerské Teplice
980 35,Gemerský Jablonec
049 16,Gemerský Milhosť
049 13,Gemerský Sad
934 01,Géňa
082 67,Geraltov
086 04,Gerlachov
059 42,Gerlachov
094 05,Giglovce
087 01,Giraltovce
094 06,Girovce
991 22,Glabušovce
049 32,Gočaltovo
049 24,Gočovo
951 08,Golianovo
935 25,Gondovo
951 17,Gorazdov
980 02,Gortva
032 14,Gôtovany
053 05,Granč - Petrovce
985 56,Gregorova Vieska
082 66,Gregorovce
982 52,Gregorovce
090 22,Gribov
094 31,Grodzin
027 05,Grúne
067 22,Gruzovce
941 23,Gúg
027 32,Habovka
067 52,Habura
981 01,Hačava
018 02,Hadoše
945 01,Hadovce
053 13,Hadušovce
038 22,Hadviga
059 04,Hágy
039 01,Háj
987 01,Hájiky - Maky
956 03,Hajná Nová Ves
980 33,Hajnáčka
962 31,Hájniky
951 33,Hájske
065 45,Hajtovka
956 55,Haláčovce
985 11,Halič
065 34,Haligovce
913 07,Haluzice
976 66,Hámor
053 33,Hámre
913 21,Hámre
966 61,Hámre - Dolné Hámre
966 71,Hámre - Horné Hámre
900 43,Hamuliakovo
972 51,Handlová
082 56,Hanigovce
080 01,Haniska
049 34,Hanková
086 46,Hankovce
067 12,Hankovce
094 31,Hanušovce nad Topľou
053 05,Harakovce
086 45,Harhaj
053 01,Harichovce
976 03,Harmanec
900 01,Harmónia
023 05,Harvelka
072 16,Hatalov
018 02,Hatné
090 23,Havaj
061 01,Havka
906 04,Havran
090 02,Havranec
027 05,Havrania
053 76,Havrania Dolina
072 34,Hažín
067 83,Hažín nad Cirochou
086 14,Hažlín
929 01,Heďbeneéte
055 63,Helcmanovce
976 68,Heľpa
049 23,Henckovce
053 33,Henclová
093 02,Hencovce
082 35,Hendrichovce
985 53,Herman
082 35,Hermanovce
094 34,Hermanovce nad Topľou
086 42,Hertník
086 22,Hervartov
927 01,Hetméň
976 61,Hiadeľ
053 63,Hincovce
027 13,Hladovka
023 22,Hlavice
018 03,Hlboké
906 31,Hlboké
014 01,Hlboké nad Váhom
023 54,Hlinené
945 01,Hliník
032 23,Hliník
966 01,Hliník nad Hronom
014 01,Hliník nad Váhom
094 35,Hlinné
073 01,Hlivištia
018 61,Hloža
065 01,Hniezdne
053 32,Hnilčík
053 75,Hnilec
072 33,Hnojné
981 01,Hnúšťa
980 31,Hodejov
980 02,Hodejovec
053 61,Hodkovce
966 63,Hodruša - Hámre
916 14,Hodulov Vrch
935 84,Hokovce
947 01,Holanovo
094 05,Holčíkovce
946 16,Holiare
930 34,Holice
908 51,Holíč
985 57,Holiša
951 42,Holotka
059 94,Holumnica
049 32,Honce
935 55,Hontianska Vrbica
962 71,Hontianske Moravce
962 65,Hontianske Nemce
962 68,Hontianske Tesáre
935 86,Hontianske Trsťany
020 61,Horenická Hôrka
073 01,Horňa
020 61,Horná Breznica
906 05,Horná Dolina
962 05,Horná Hriňová
951 32,Horná Kráľová
919 65,Horná Krupá
976 81,Horná Lehota
027 41,Horná Lehota
018 03,Horná Mariková
974 01,Horná Mičiná
974 01,Horná Môlča
018 35,Horná Poruba
930 36,Horná Potôň
930 52,Horná Potôň - Lúky
935 31,Horná Seč
916 24,Horná Streda
991 02,Horná Strehová
913 33,Horná Súča
038 46,Horná Štubňa
013 06,Horná Tižina
966 01,Horná Trnávka
972 48,Horná Ves
967 01,Horná Ves
913 33,Horná Závrská
946 12,Horná Zlatná
966 04,Horná Ždaňa
913 24,Horňany
962 61,Horné Breziny
956 54,Horné Držkovce
919 06,Horné Dubové
966 71,Horné Hámre
956 31,Horné Chlebany
930 39,Horné Janíky
038 02,Horné Jaseno
020 01,Horné Kočkovce
906 15,Horné Košariská
951 45,Horné Lefantovce
972 71,Horné Lelovce
919 27,Horné Lovčice
962 43,Horné Mladonice
913 26,Horné Motešice
930 13,Horné Mýto
956 41,Horné Naštice
956 08,Horné Obdokovce
919 03,Horné Orešany
920 62,Horné Otrokovce
957 03,Horné Ozorovce
